CZ.Name,State,Racial.Segregation,Income.Segregation,Household.Income.per.capita,Local.Tax.Rate,Local.Government.Expenditures.Per.Capita,Labor.Force.Participation.Rate,Social.Capital.Index,Fraction.Religious
Johnson City,TN,0.0903837,0.0348657,31559.77,0.0203924,1886.148,0.5873474,-0.2978583,0.5144033
Morristown,TN,0.093153,0.0262809,29958.93,0.0234471,2004.337,0.6249742,-0.76735477,0.5438951
Middlesborough,TN,0.0642501,0.0240811,22328.48,0.0153799,1189.82,0.4789631,-1.2702513,0.667806
Knoxville,TN,0.2099943,0.0921036,35884.29,0.0188704,2356.851,0.6148306,-0.22188462,0.601953
Winston-Salem,NC,0.262388,0.0718667,38891.75,0.0179048,1891.45,0.656087,-0.01779596,0.4879375
Martinsville,VA,0.1365256,0.0237311,31264.81,0.0151883,1557.879,0.599393,-0.90281513,0.4544327
Greensboro,NC,0.220065,0.0676532,36581.84,0.0172547,1932.456,0.6659446,-0.51318038,0.433969
North Wilkesboro,NC,0.1140964,0.0118961,31544.06,0.0135954,1661.026,0.617435,-0.19309309,0.5613891
Galax,VA,0.1311975,0.0054097,30683.01,0.0140347,1208.094,0.5936862,-0.80119036,0.430175
Spartanburg,SC,0.1394965,0.0451206,33416.75,0.0181788,2498.805,0.6295308,-1.0008878,0.5960855
Gastonia,NC,0.1336746,0.0380789,33582.14,0.0149102,1996.33,0.6476718,-0.65939772,0.6012372
Charlotte,NC,0.2233193,0.0983462,41423.26,0.0196539,2700.772,0.6960222,-0.48383137,0.4959942
Boone,NC,0.0764024,0.0307025,25952.73,0.0223031,1348.464,0.5886975,0.01234278,0.4884503
Morganton,NC,0.1165366,0.0123042,30725.51,0.0143212,1825.952,0.6100568,-0.23112977,0.5687727
Hickory,NC,0.1340848,0.0375131,36023.97,0.0148791,1917.402,0.6880056,-0.23540835,0.5775316
Franklin,NC,0.044338,0.0106465,37260.51,0.0238556,1433.778,0.5576459,-0.23370455,0.6133167
Sylva,NC,0.3260307,0.016147,28766.82,0.0154114,1581.042,0.6091752,-1.0006839,0.4091195
Asheville,NC,0.1681984,0.0357234,37445.13,0.0177694,2059.415,0.6041282,0.05522191,0.5771922
Andrews,NC,0.050597,0.0077435,33712.03,0.0153418,1931.542,0.5246205,-0.99930048,0.5491027
Bennettsville,SC,0.0765086,0.009886,25531.41,0.0201649,1335.1,0.5744633,-2.4401389,0.4898584
Florence,SC,0.2013288,0.0467402,32610.36,0.021352,1725.847,0.6145274,-1.9584137,0.4357106
Fayetteville,NC,0.1732933,0.0519758,29959.11,0.0160278,2089.798,0.6378469,-2.2102322,0.3774455
Wilmington,NC,0.1547628,0.0638425,35616.59,0.0222326,2143.638,0.6098379,-1.2280171,0.4339928
Wilson,NC,0.1694319,0.0531913,31548.58,0.0168744,2899.386,0.6194996,-1.395195,0.398123
Raleigh,NC,0.15935,0.0987872,40545.81,0.0215574,3146.705,0.6944391,-0.40136127,0.3994598
Henderson,NC,0.0949566,0.0335116,29491.89,0.0164034,2116.281,0.580119,-1.6357095,0.4371643
Goldsboro,NC,0.1132062,0.025556,28924.63,0.0163958,1843.966,0.6173569,-1.6120602,0.394661
Jacksonville,NC,0.1355732,0.049144,29500.39,0.0173889,2523.385,0.6538132,-1.9257765,0.3418605
Virginia Beach,VA,0.1892905,0.1108495,34928.8,0.0283187,2365.744,0.6826952,-0.9496714,0.3457321
Washington,NC,0.1584182,0.0371429,32919.36,0.0253357,2822.53,0.5943025,-1.0656222,0.4662201
South Boston,VA,0.0266242,0.0079589,28197.59,0.0149025,1348.775,0.5362555,-0.65022305,0.4065056
Lynchburg,VA,0.1321962,0.0497411,34416.57,0.0179932,1481.385,0.6256427,-0.18454126,0.5745092
Richmond,VA,0.2567327,0.119407,41886.04,0.0247412,2427.829,0.6707073,0.24893187,0.4328288
Newport News,VA,0.1806059,0.0867617,36027.37,0.0246977,1807.482,0.6483854,-0.63033196,0.366775
Roanoke Rapids,NC,0.1043743,0.0111188,27335.06,0.0187567,2041.272,0.5133925,-0.59563105,0.3638417
Gulfport,MS,0.1811449,0.0355859,31028.05,0.0218591,2072.12,0.61932,-1.6300002,0.5354173
